Transaction_ID,Date,Description,Amount_Text,Status,Account,Reference,Customer_ID,Branch
TXN001,2024-01-15,Payment to Vendor ABC,"$1,234.56",Settled,ACC001,REF123,CUST001,BR01
TXN002,2024-01-16,Salary Payment,"$2,500.00",Pending,ACC002,REF124,CUST002,BR02
TXN003,2024-01-17,Refund Processing,"$-456.78",Completed,ACC003,REF125,CUST003,BR01
TXN004,2024-01-18,Investment Transfer,"$10,000.00",Settled,ACC001,REF126,CUST001,BR03
TXN005,2024-01-19,Utility Bill Payment,$234.50,Failed,ACC004,REF127,CUST004,BR02
TXN006,2024-01-20,Customer Deposit,"$3,456.78",Settled,ACC002,REF128,CUST002,BR01
TXN007,2024-01-21,Loan Disbursement,"$15,000.00",Pending,ACC005,REF129,CUST005,BR03
TXN008,2024-01-22,Card Payment,$89.99,Settled,ACC003,REF130,CUST003,BR02
TXN009,2024-01-23,Wire Transfer,"$5,678.90",Completed,ACC001,REF131,CUST006,BR01
TXN010,2024-01-24,ATM Withdrawal,$-200.00,Settled,ACC004,REF132,CUST004,BR02
